idno;tail;name;ST_AsText(shap);nlan;sped;hier;head;leng;capa 
932048;6095902;L239;16.3725072 47.642473899999,16.3724088 47.642514599999;1;69;0;18044296;10;900
932048;18044296;L239;16.3724088 47.642514599999,16.3725072 47.642473899999;1;69;0;6095902;10;900
932090;10350350;A22;16.447269600001 48.206608199999,16.447248200001 48.206619099999;1;60;0;460045122;10;1800
932090;460045122;A22;16.447248200001 48.206619099999,16.447269600001 48.206608199999;1;60;0;10350350;10;1800
950084;1357419;;15.628006 48.4069453,15.6280076 48.4069267;1;60;0;460042631;10;1800
950084;460042631;;15.6280076 48.4069267,15.628006 48.4069453;1;60;0;1357419;10;1800
2000081;1000143;Fratres/L67;15.345086 48.9816222,15.3452873 48.9817187,15.3456123 48.9819421,15.3457961 48.9821202,15.3458904 48.9822392,15.3459455 48.9823461,15.3459967 48.9824517,15.3460275 48.9825858,15.3460446 48.9828156,15.3459583 48.9831047,15.3458211 48.9834786,15.3457591 48.9836501,15.3456644 48.984114,15.345639 48.9842784,15.3455405 48.9842922,15.3455401 48.9842934;1;35;0;18017090;330,149993896484;1100
2000081;18017090;Fratres/L67;15.3455401 48.9842934,15.3455405 48.9842922,15.345639 48.9842784,15.3456644 48.984114,15.3457591 48.9836501,15.3458211 48.9834786,15.3459583 48.9831047,15.3460446 48.9828156,15.3460275 48.9825858,15.3459967 48.9824517,15.3459455 48.9823461,15.3458904 48.9822392,15.3457961 48.9821202,15.3456123 48.9819421,15.3452873 48.9817187,15.345086 48.9816222;1;35;0;1000143;330,149993896484;1100
2000101;1000261;Heiligenkreuzerstraße/B11 - Mödlinger Straße;16.0933273 48.0565138,16.0933327 48.0565097,16.0933598 48.0564725,16.0933712 48.0564382,16.0933765 48.0564097,16.0933714 48.05638;1;50;0;18013810;15,6300001144409;0
2000101;18013810;Heiligenkreuzerstraße/B11 - Mödlinger Straße;16.0933714 48.05638,16.0933765 48.0564097,16.0933712 48.0564382,16.0933598 48.0564725,16.0933327 48.0565097,16.0933273 48.0565138;1;50;0;1000261;15,6300001144409;2000
